id,rectimestamp,sendtimestamp,Delay millisecond,longitude,latitude,altitude,speed,Key star Number,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label,attack_type,SPAT
1,1.70E+12,1.70E+12,-236.756,116.491163,39.728949,23.3,9.816,47,60.99,F66D578E2976FFFF,27,1,0,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,normal,SPAT
2,1.70E+12,1.70E+12,-219.73,116.491179,39.728956,23.3,9.816,47,60.99,696E636830303000,33,2,5,3619,8000001,7,8,-122,-92,0,0,5,-122,55140,47,4264,QPSK,normal,SPAT
3,1.70E+12,1.70E+12,-215.862,116.491187,39.72896,23.3,9.76,47,60.43,696E636830303000,36,3,7,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,normal,SPAT
4,1.70E+12,1.70E+12,-219.205,116.491206,39.728968,23.3,9.76,47,60.43,696E636830303000,43,4,13,3619,8000001,7,8,-124,-93,-1,0,5,-124,55140,47,4264,QPSK,normal,SPAT
5,1.70E+12,1.70E+12,-223.861,116.491217,39.728973,23.3,9.408,47,59.99,696E636830303000,47,5,16,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
6,1.70E+12,1.70E+12,-219.646,116.491223,39.728975,23.3,9.408,47,59.99,696E636830303000,49,6,17,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,normal,SPAT
7,1.70E+12,1.70E+12,-222.812,116.491237,39.72898,23.3,9.371,47,60.43,696E636830303000,54,7,21,3619,8000001,7,8,-122,-83,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
8,1.70E+12,1.70E+12,-222.118,116.491255,39.72899,23.3,9.371,47,60.43,696E636830303000,62,8,28,3619,8000001,7,8,-122,-90,0,0,5,-122,55140,47,4264,QPSK,normal,SPAT
9,1.70E+12,1.70E+12,-220.564,116.49127,39.728997,23.3,9.371,47,58.9,696E636830303000,69,9,34,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
10,1.70E+12,1.70E+12,-238.15,116.491272,39.728998,23.3,9.371,47,58.9,696E636830303000,70,10,34,3619,8000001,7,8,-121,-88,1,0,5,-121,55140,47,4264,QPSK,normal,SPAT
11,1.70E+12,1.70E+12,-220.824,116.491278,39.729001,23.3,9.371,47,58.9,696E636830303000,72,11,35,3619,8000001,7,8,-122,-92,1,1,5,-122,55140,47,4264,QPSK,normal,SPAT
12,1.70E+12,1.70E+12,-232.655,116.491281,39.729002,23.3,9.371,47,58.9,696E636830303000,73,12,35,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,QPSK,normal,SPAT
13,1.70E+12,1.70E+12,-220.248,116.49129,39.729006,23.3,9.39,47,57.94,696E636830303000,76,13,37,3619,8000001,7,8,-125,-89,-3,0,5,-125,55140,47,4264,QPSK,normal,SPAT
14,1.70E+12,1.70E+12,-236.704,116.491293,39.729008,23.3,9.39,47,57.94,,77,14,37,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,QPSK,normal,SPAT
15,1.70E+12,1.70E+12,-235.043,116.491296,39.729009,23.3,9.39,47,57.94,696E636830303000,78,15,37,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,QPSK,normal,SPAT
16,1.70E+12,1.70E+12,-235.961,116.4913,39.729011,23.3,9.39,47,57.94,696E636830303000,79,16,37,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
17,1.70E+12,1.70E+12,-223.945,116.491314,39.729017,23.3,9.316,47,59.16,696E636830303000,85,17,42,3619,8000001,7,8,-124,-93,-2,0,5,-124,55140,47,4264,QPSK,normal,SPAT
18,1.70E+12,1.70E+12,-219.036,116.491325,39.729022,23.3,9.316,47,59.16,696E636830303000,89,18,45,3619,8000001,7,8,-121,-91,2,0,5,-121,55140,47,4264,QPSK,normal,SPAT
19,1.70E+12,1.70E+12,-218.789,116.491331,39.729025,23.3,9.316,47,59.16,696E636830303000,92,19,47,3619,8000001,7,8,-123,-91,-1,1,5,-123,55140,47,4264,QPSK,normal,SPAT
20,1.70E+12,1.70E+12,-238.053,116.491333,39.729026,23.3,9.316,47,59.16,696E636830303000,93,20,47,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
21,1.70E+12,1.70E+12,-226.883,116.491339,39.729029,23.3,9.167,47,60.11,696E636830303000,95,21,48,3619,8000001,7,8,-120,-91,3,0,5,-120,55140,47,4264,QPSK,normal,SPAT
22,1.70E+12,1.70E+12,-214.565,116.49135,39.729033,23.3,9.241,47,60.77,696E636830303000,99,22,51,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
23,1.70E+12,1.70E+12,-229.589,116.491351,39.729033,23.3,9.241,47,60.77,,100,23,51,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,normal,SPAT
24,1.70E+12,1.70E+12,-241.312,116.491354,39.729034,23.3,9.241,47,60.77,,101,24,51,3619,8000001,7,8,-118,-89,4,0,5,-118,55140,47,4264,QPSK,normal,SPAT
25,1.70E+12,1.70E+12,-221.175,116.491368,39.72904,23.3,9.167,47,60.11,696E636830303000,106,25,55,3619,8000001,7,8,-121,-91,2,0,5,-121,55140,47,4264,QPSK,normal,SPAT
26,1.70E+12,1.70E+12,-234.501,116.491373,39.729042,23.3,9.167,47,60.11,696E636830303000,108,26,56,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,normal,SPAT
27,1.70E+12,1.70E+12,-241.112,116.491375,39.729043,23.3,9.167,47,60.11,,109,27,56,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,normal,SPAT
28,1.70E+12,1.70E+12,-236.063,116.491378,39.729044,23.3,9.167,47,60.11,696E636830303000,110,28,56,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
29,1.70E+12,1.70E+12,-220.33,116.49139,39.72905,23.2,9.038,47,60.26,696E636830303000,115,29,60,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,normal,SPAT
30,1.70E+12,1.70E+12,-220.084,116.491395,39.729052,23.2,8.982,47,62.66,,117,30,61,3619,8000001,7,8,-124,-93,-2,0,5,-124,55140,47,4264,QPSK,normal,SPAT
31,1.70E+12,1.70E+12,-236.545,116.491398,39.729054,23.2,9.038,47,60.26,696E636830303000,118,31,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
32,1.70E+12,1.70E+12,-235.659,116.491401,39.729055,23.2,9.038,47,60.26,696E636830303000,119,32,61,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,normal,SPAT
33,1.70E+12,1.70E+12,-236.498,116.491405,39.729056,23.2,9.038,47,60.26,696E636830303000,120,33,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
34,1.70E+12,1.70E+12,-240.724,116.491407,39.729057,23.2,9.038,47,60.26,696E636830303000,121,34,61,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,normal,SPAT
35,1.70E+12,1.70E+12,-219.397,116.491428,39.729066,23.2,8.982,47,62.66,696E636830303000,2,35,69,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,normal,SPAT
36,1.70E+12,1.70E+12,-222.459,116.491435,39.729069,23.2,8.982,47,62.66,696E636830303000,5,36,71,3619,8000001,7,8,-124,-93,-2,2,5,-124,55140,47,4264,QPSK,normal,SPAT
